phone_id,location_date,latitude,longitude
33,2022-11-01 00:24:49.0,39.5158971000,2.4842517000
23,2022-11-01 00:25:06.0,39.5099582800,2.5300202900
50,2022-11-01 00:25:27.0,39.5119322300,2.4686025600
14,2022-11-01 00:25:33.0,39.5098176000,2.5306855000
33,2022-11-01 00:25:52.0,39.5128843000,2.4764895000
23,2022-11-01 00:26:08.0,39.5101191800,2.5300749600
50,2022-11-01 00:26:33.0,39.5119375200,2.4687684600
14,2022-11-01 00:26:35.0,39.5098188000,2.5307194000
33,2022-11-01 00:26:54.0,39.5100136000,2.4710384000
23,2022-11-01 00:27:11.0,39.5101940900,2.5302273900
14,2022-11-01 00:27:38.0,39.5095578000,2.5305000000
50,2022-11-01 00:27:39.0,39.5118706500,2.4686364400
33,2022-11-01 00:27:57.0,39.5118596000,2.4687619000
23,2022-11-01 00:28:14.0,39.5097168500,2.5301839600
14,2022-11-01 00:28:40.0,39.5095385000,2.5306005000
50,2022-11-01 00:28:45.0,39.5118784100,2.4686975100
33,2022-11-01 00:29:00.0,39.5118934000,2.4687080000
23,2022-11-01 00:29:17.0,39.5098101600,2.5302612400
14,2022-11-01 00:29:42.0,39.5074676000,2.5309126000
50,2022-11-01 00:29:51.0,39.5118590200,2.4686279100
33,2022-11-01 00:30:02.0,39.5118808000,2.4687310000
23,2022-11-01 00:30:20.0,39.5096268000,2.5301722100
14,2022-11-01 00:30:44.0,39.5089381000,2.5310899000
50,2022-11-01 00:30:56.0,39.5118544500,2.4686580700
33,2022-11-01 00:31:05.0,39.5118984000,2.4687048000
23,2022-11-01 00:31:24.0,39.5093194800,2.5302861200
14,2022-11-01 00:31:46.0,39.5113005000,2.5264471000
50,2022-11-01 00:32:00.0,39.5118550200,2.4686741200
33,2022-11-01 00:32:07.0,39.5118431000,2.4687330000
23,2022-11-01 00:32:28.0,39.5082234400,2.5297784900
14,2022-11-01 00:32:48.0,39.5138852000,2.5264471000
50,2022-11-01 00:33:04.0,39.5118899300,2.4687581900
33,2022-11-01 00:33:10.0,39.5118823000,2.4687608000
23,2022-11-01 00:33:31.0,39.5084067700,2.5282260100
14,2022-11-01 00:33:50.0,39.5106007000,2.5335807000
50,2022-11-01 00:34:09.0,39.5119613100,2.4686804000
33,2022-11-01 00:34:13.0,39.5118587000,2.4687553000
23,2022-11-01 00:34:34.0,39.5113690000,2.5294942900
14,2022-11-01 00:34:52.0,39.5098325000,2.5329136000
50,2022-11-01 00:35:14.0,39.5119360300,2.4687275300
33,2022-11-01 00:35:15.0,39.5118718000,2.4687252000
23,2022-11-01 00:35:37.0,39.5127502100,2.5323759300
14,2022-11-01 00:35:55.0,39.5097188000,2.5328891000
33,2022-11-01 00:36:18.0,39.5118784000,2.4687357000
50,2022-11-01 00:36:19.0,39.5117448700,2.4685526200
23,2022-11-01 00:36:41.0,39.5102479700,2.5326815900
14,2022-11-01 00:36:58.0,39.5097266000,2.5329690000
33,2022-11-01 00:37:20.0,39.5118519000,2.4687785000
50,2022-11-01 00:37:24.0,39.5117688900,2.4687266500
23,2022-11-01 00:37:44.0,39.5096834600,2.5328911400
14,2022-11-01 00:38:01.0,39.5096986000,2.5330201000
33,2022-11-01 00:38:23.0,39.5118857000,2.4687573000
50,2022-11-01 00:38:29.0,39.5118550000,2.4687563600
23,2022-11-01 00:38:47.0,39.5096744800,2.5329616300
14,2022-11-01 00:39:03.0,39.5096221000,2.5328943000
33,2022-11-01 00:39:26.0,39.5117570000,2.4688227000
50,2022-11-01 00:39:37.0,39.5118897000,2.4684954400
23,2022-11-01 00:39:50.0,39.5097432500,2.5329189400
14,2022-11-01 00:40:06.0,39.5096460000,2.5329239000
33,2022-11-01 00:40:28.0,39.5116075000,2.4694737000
50,2022-11-01 00:40:41.0,39.5118428800,2.4684586000
23,2022-11-01 00:40:53.0,39.5097600500,2.5327926600
14,2022-11-01 00:41:09.0,39.5097122000,2.5329976000
